LOTE;VALOR;PESO;DESCRICAO
00992-0;3.230,00 ;20,90;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: inscrições, PESO LOTE: 20,90G (VINTE GRAMAS E NOVENTA CENTIGRAMAS) R$ 3.230,00 
"
01009-0;6.038,00 ;37,05;" TRES ANÉIS, DOIS BRINCOS, DOIS COLARES, DOIS PENDENTES, DE: OURO BRANCO, OURO; CONSTAM: defeito(s), PESO LOTE: 37,05G (TRINTA E SETE GRAMAS E CINCO CENTIGRAMAS) R$ 6.038,00 
"
01042-1;1.170,00 ;7,80;" UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 7,80G (SETE GRAMAS E OITENTA CENTIGRAMAS) R$ 1.170,00 
"
01077-4;3.452,00 ;21,50;" UM COLAR, DE: OURO, PESO LOTE: 21,50G (VINTE E UM GRAMAS E CINQUENTA CENTIGRAMAS) R$ 3.452,00 
"
01078-2;1.259,00 ;7,80;" UMA PULSEIRA, DE: OURO, PESO LOTE: 7,80G (SETE GRAMAS E OITENTA CENTIGRAMAS) R$ 1.259,00 
"
01079-0;3.998,00 ;24,70;" UM COLAR, DE: OURO, PESO LOTE: 24,70G (VINTE E QUATRO GRAMAS E SETENTA CENTIGRAMAS) R$ 3.998,00 
"
01085-5;1.966,00 ;12,30;" UMA PULSEIRA, DE: OURO, PESO LOTE: 12,30G (DOZE GRAMAS E TRINTA CENTIGRAMAS) R$ 1.966,00 
"
01187-8;1.180,00 ;8,70;" DUAS ALIANÇAS, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 8,70G (OITO GRAMAS E SETENTA CENTIGRAMAS) R$ 1.180,00 
"
01219-0;1.616,00 ;8,57;" UMA MOEDA(RUSSIA, 10 RUBLOS, 1899, OURO 900), DE: OURO, PESO LOTE: 8,57G (OITO GRAMAS E CINQUENTA E SETE CENTIGRAMAS) R$ 1.616,00 
"
01220-3;2.848,00 ;18,15;" UM COLAR, TRES PENDENTES, DE: OURO; CONSTAM: defeito(s), PESO LOTE: 18,15G (DEZOITO GRAMAS E QUINZE CENTIGRAMAS) R$ 2.848,00 
"
01226-2; 750,00 ;5,72;" DUAS ALIANÇAS, DE: OURO; CONSTAM: inscrições, PESO LOTE: 5,72G (CINCO GRAMAS E SETENTA E DOIS CENTIGRAMAS) R$ 750,00 
"
01230-0;1.185,00 ;7,40;" UM ANEL, DOIS BRINCOS, UM PENDENTE, DE: OURO, OURO RODINADO; CONSTAM: amolgada(s), PESO LOTE: 7,40G (SETE GRAMAS E QUARENTA CENTIGRAMAS) R$ 1.185,00 
"
01233-5;1.602,00 ;7,99;" UMA MOEDADE UMA LIBRA ESTERLINA, DE: OURO, 916, PESO LOTE: 7,99G (SETE GRAMAS E NOVENTA E NOVE CENTIGRAMAS) R$ 1.602,00 
"
01263-7;1.000,00 ;7,60;" DUAS ALIANÇAS, DE: OURO; CONSTAM: inscrições, PESO LOTE: 7,60G (SETE GRAMAS E SESSENTA CENTIGRAMAS) R$ 1.000,00 
"
01270-0;2.410,00 ;16,50;" DOIS ANÉIS, DE: OURO; CONTÉM: coral, (NÃO PRECIFICADOS), PESO LOTE: 16,50G (DEZESSEIS GRAMAS E CINQUENTA CENTIGRAMAS) R$ 2.410,00 
"
01286-6;2.498,00 ;15,83;" DUAS ALIANÇAS, UM COLAR, DE: OURO BRANCO, OURO; CONSTAM: amassada(s), PESO LOTE: 15,83G (QUINZE GRAMAS E OITENTA E TRES CENTIGRAMAS) R$ 2.498,00 
"
01290-4; 586,00 ;4,47;" UMA ALIANÇA, DE: OURO, PESO LOTE: 4,47G (QUATRO GRAMAS E QUARENTA E SETE CENTIGRAMAS) R$ 586,00 
"
01303-0; 700,00 ;5,30;" UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), defeito(s), partida(s), PESO LOTE: 5,30G (CINCO GRAMAS E TRINTA CENTIGRAMAS) R$ 700,00 
"
01309-9;2.400,00 ;18,60;" UMA PULSEIRA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 18,60G (DEZOITO GRAMAS E SESSENTA CENTIGRAMAS) R$ 2.400,00 
"
01310-2;3.240,00 ;24,00;" TRES ANÉIS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 24,00G (VINTE E QUATRO GRAMAS) R$ 3.240,00 
"
01315-3;1.949,00 ;13,70;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 13,70G (TREZE GRAMAS E SETENTA CENTIGRAMAS) R$ 1.949,00 
"
01316-1;;26,23;" UM ANEL, DOIS BRINCOS, UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: defeito(s), (FECHO), PESO LOTE: 26,23G (VINTE E SEIS GRAMAS E VINTE E TRES CENTIGRAMAS) R$ 4.147,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 20 de 73 
"
01325-0;3.468,00 ;28,10;" UM RELÓGIO PULSEIRABUCHERER, DE: OURO; CONSTAM: defeito(s), PESO LOTE: 28,10G (VINTE E OITO GRAMAS E DEZ CENTIGRAMAS) R$ 3.468,00 
"
01330-7; 885,00 ;6,75;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 6,75G (SEIS GRAMAS E SETENTA E CINCO CENTIGRAMAS) R$ 885,00 
"
01332-3;2.951,00 ;19,64;" UMA ALIANÇA, QUATRO BRINCOS, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), incompleta(s), (TARRAXAS), PESO LOTE: 19,64G (DEZENOVE GRAMAS E SESSENTA E QUATRO CENTIGRAMAS) R$ 2.951,00 
"
01336-6; 298,00 ;2,10;" DOIS FRAGMENTOS, DE: OURO; CONSTAM: partida(s), incompleta(s), PESO LOTE: 2,10G (DOIS GRAMAS E DEZ CENTIGRAMAS) R$ 298,00 
"
01339-0; 560,00 ;4,20;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 4,20G (QUATRO GRAMAS E VINTE CENTIGRAMAS) R$ 560,00 
"
01346-3; 675,00 ;4,30;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 4,30G (QUATRO GRAMAS E TRINTA CENTIGRAMAS) R$ 675,00 
"
01347-1;10.813,00 ;71,83;" UM COLAR, UM PENDENTE, QUATRO PULSEIRAS, DE: OURO BRANCO, OURO; CONSTAM: amolgada(s), PESO LOTE: 71,83G (SETENTA E UM GRAMAS E OITENTA E TRES CENTIGRAMAS) R$ 10.813,00 
"
01351-0; 354,00 ;3,17;" UM COLAR, DE: OURO; CONSTAM: partida(s), PESO LOTE: 3,17G (TRES GRAMAS E DEZESSETE CENTIGRAMAS) R$ 354,00 
"
01363-3;1.014,00 ;6,44;" DUAS ALIANÇASSENDO UMA COM UMA ARGOLA, DE: OURO, PESO LOTE: 6,44G (SEIS GRAMAS E QUARENTA E QUATRO CENTIGRAMAS) R$ 1.014,00 
"
01364-1; 412,00 ;2,97;" UMA ALIANÇAPARTIDA, DOIS PENDENTES, SENDO UM INCOMPLETO, DE: OURO, PESO LOTE: 2,97G (DOIS GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 412,00 
"
01365-0; 446,00 ;3,04;" UM ANEL, DE: OURO, PESO LOTE: 3,04G (TRES GRAMAS E QUATRO CENTIGRAMAS) R$ 446,00 
"
01369-2; 743,00 ;5,66;" UM PENDENTE, DOIS BRINCOS, SEM TARRAXA E UM PARTIDO, DE: OURO, PESO LOTE: 5,66G (CINCO GRAMAS E SESSENTA E SEIS CENTIGRAMAS) R$ 743,00 
"
01372-2; 560,00 ;3,85;" DUAS ALIANÇAS, DE: OURO, OURO BRANCO, PESO LOTE: 3,85G (TRES GRAMAS E OITENTA E CINCO CENTIGRAMAS) R$ 560,00 
"
01383-8; 673,00 ;5,07;" UMA ALIANÇA, DE: OURO, PESO LOTE: 5,07G (CINCO GRAMAS E SETE CENTIGRAMAS) R$ 673,00 
"
01384-6;5.104,00 ;32,29;" UM COLAR, DE: OURO, PESO LOTE: 32,29G (TRINTA E DOIS GRAMAS E VINTE E NOVE CENTIGRAMAS) R$ 5.104,00 
"
01385-4;9.586,00 ;62,64;" UMA PULSEIRA, DE: OURO, PESO LOTE: 62,64G (SESSENTA E DOIS GRAMAS E SESSENTA E QUATRO CENTIGRAMAS) R$ 9.586,00 
"
01391-9;1.211,00 ;9,30;" DOIS COLARES, DOIS PENDENTES, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 9,30G (NOVE GRAMAS E TRINTA CENTIGRAMAS) R$ 1.211,00 
"
01393-5;1.057,00 ;7,60;" UM COLAR, DE: OURO, PESO LOTE: 7,60G (SETE GRAMAS E SESSENTA CENTIGRAMAS) R$ 1.057,00 
"
01394-3;1.268,00 ;10,14;" TRES COLARES, DE: OURO, PESO LOTE: 10,14G (DEZ GRAMAS E QUATORZE CENTIGRAMAS) R$ 1.268,00 
"
01398-6; 769,00 ;5,71;" DUAS ALIANÇAS, DE: OURO, OURO BRANCO, PESO LOTE: 5,71G (CINCO GRAMAS E SETENTA E UM CENTIGRAMAS) R$ 769,00 
"
01401-0;1.768,00 ;12,51;" UMA PULSEIRA, DE: OURO, PESO LOTE: 12,51G (DOZE GRAMAS E CINQUENTA E UM CENTIGRAMAS) R$ 1.768,00 
"
01416-8;1.259,00 ;9,63;" UM PENDENTE, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 9,63G (NOVE GRAMAS E SESSENTA E TRES CENTIGRAMAS) R$ 1.259,00 
"
01417-6; 481,00 ;3,26;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 3,26G (TRES GRAMAS E VINTE E SEIS CENTIGRAMAS) R$ 481,00 
"
01419-2;2.271,00 ;15,94;" UM COLAR, UMA PULSEIRA, PARTIDA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 15,94G (QUINZE GRAMAS E NOVENTA E QUATRO CENTIGRAMAS) R$ 2.271,00 
"
01420-6;1.922,00 ;15,60;" DOIS COLARESSENDO 1 PARTIDO, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 15,60G (QUINZE GRAMAS E SESSENTA CENTIGRAMAS) R$ 1.922,00 
"
01422-2;1.715,00 ;12,03;" UMA ALIANÇA, UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 12,03G (DOZE GRAMAS E TRES CENTIGRAMAS) R$ 1.715,00 
"
01423-0;4.442,00 ;30,14;" UMA ALIANÇA, UM BROCHE, UM PENDENTE, DOIS COLARES, UMA PULSEIRA, DE: OURO, PESO LOTE: 30,14G (TRINTA GRAMAS E QUATORZE CENTIGRAMAS) R$ 4.442,00 
"
01424-9; 644,00 ;5,15;" UM COLAR, DOIS PENDENTES, SENDO UM OLHO GREGO E OUTRO SEM ALÇA, UMA PULSEIRA, AMASSADA, DE: OURO, PESO LOTE: 5,15G (CINCO GRAMAS E QUINZE CENTIGRAMAS) R$ 644,00 
"
01428-1;1.223,00 ;8,88;" UM BRINCO, DOIS COLARES, DOIS PENDENTES, UMA PULSEIRA, DE: OURO, OURO BRANCO, PESO LOTE: 8,88G (OITO GRAMAS E OITENTA E OITO CENTIGRAMAS) R$ 1.223,00 
"
01433-8;3.262,00 ;23,15;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 23,15G (VINTE E TRES GRAMAS E QUINZE CENTIGRAMAS) R$ 3.262,00 
"
01434-6;2.657,00 ;20,98;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 20,98G (VINTE GRAMAS E NOVENTA E OITO CENTIGRAMAS) R$ 2.657,00 
"
01435-4;3.519,00 ;21,84;" UMA PULSEIRA, DE: OURO, PESO LOTE: 21,84G (VINTE E UM GRAMAS E OITENTA E QUATRO CENTIGRAMAS) R$ 3.519,00 
"
01436-2;2.933,00 ;19,53;" UMA PULSEIRA, DE: OURO, PESO LOTE: 19,53G (DEZENOVE GRAMAS E CINQUENTA E TRES CENTIGRAMAS) R$ 2.933,00 
"
01439-7; 398,00 ;2,72;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 2,72G (DOIS GRAMAS E SETENTA E DOIS CENTIGRAMAS) R$ 398,00 
"
01440-0; 480,00 ;3,30;" UM COLAR, QUATRO PENDENTES, DE: OURO, PESO LOTE: 3,30G (TRES GRAMAS E TRINTA CENTIGRAMAS) R$ 480,00 
"
01442-7; 820,00 ;5,60;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 5,60G (CINCO GRAMAS E SESSENTA CENTIGRAMAS) R$ 820,00 
"
01443-5;1.647,00 ;10,78;" DUAS ALIANÇAS, DE: OURO, PESO LOTE: 10,78G (DEZ GRAMAS E SETENTA E OITO CENTIGRAMAS) R$ 1.647,00 
"
01449-4; 254,00 ;1,62;" UM PENDENTE, DE: OURO; CONSTAM: iniciais, PESO LOTE: 1,62G (UM GRAMAS E SESSENTA E DOIS CENTIGRAMA) R$ 254,00 
"
01453-2;1.562,00 ;10,48;" UM COLAR, UM PENDENTE, UMA PULSEIRA, DE: OURO, PESO LOTE: 10,48G (DEZ GRAMAS E QUARENTA E OITO CENTIGRAMAS) R$ 1.562,00 
"
01454-0;1.132,00 ;7,75;" DOIS COLARESSENDO UM TIPO ESCAPULARIO, DOIS PENDENTES, DE: OURO, OURO BRANCO, PESO LOTE: 7,75G (SETE GRAMAS E SETENTA E CINCO CENTIGRAMAS) R$ 1.132,00 
"
01455-9; 620,00 ;4,27;" UMA PULSEIRA, DE: OURO, PESO LOTE: 4,27G (QUATRO GRAMAS E VINTE E SETE CENTIGRAMAS) R$ 620,00 
"
01463-0;2.600,00 ;17,92;" UM COLARCOM PENDENTE, DE: OURO; CONSTAM: inscrições, amassada(s), amolgada(s), PESO LOTE: 17,92G (DEZESSETE GRAMAS E NOVENTA E DOIS CENTIGRAMAS) R$ 2.600,00 
"
01472-9;1.780,00 ;13,42;" UM COLAR, DE: OURO, PESO LOTE: 13,42G (TREZE GRAMAS E QUARENTA E DOIS CENTIGRAMAS) R$ 1.780,00 
"
01482-6;;400,00;" UM RELÓGIOTISSOT DE OURO COM PULSEIRA DE OURO COM COROA DE METAL NÃO NOBRE E A CORDA MANUAL, DE: OURO; CONSTAM: defeito(s), PARADO E ARRANHADO, defeito(s), RACHADURA NA TAMPA TRASEIRA, PESO R$ 5.400,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 24 de 73 59,60G (CINQUENTA E NOVE GRAMAS E SESSENTA CENTIGRAMAS) 
"
01485-0; 869,00 ;6,09;" DOIS BRINCOS, DE: OURO, PESO LOTE: 6,09G (SEIS GRAMAS E NOVE CENTIGRAMAS) R$ 869,00 
"
01487-7;1.439,00 ;7,98;" UMA MEDALHA(LIBRA), DE: OURO, PESO LOTE: 7,98G (SETE GRAMAS E NOVENTA E OITO CENTIGRAMAS) R$ 1.439,00 
"
01489-3; 265,00 ;1,86;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 1,86G (UM GRAMAS E OITENTA E SEIS CENTIGRAMA) R$ 265,00 
"
01492-3;6.122,00 ;39,51;" UM COLAR, DE: OURO, PESO LOTE: 39,51G (TRINTA E NOVE GRAMAS E CINQUENTA E UM CENTIGRAMAS) R$ 6.122,00 
"
01499-0; 460,00 ;3,51;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 3,51G (TRES GRAMAS E CINQUENTA E UM CENTIGRAMAS) R$ 460,00 
"
01505-9;5.854,00 ;59,60;" UM RELÓGIOMIRVAINE MASCULINO, PULSEIRA NÃO ORIGINAL, COROA METAL NÃO NOBRE, MANCHAS NO MOSTRADOR, DE: OURO; CONSTAM: amassada(s), defeito(s), PESO LOTE: 59,60G (CINQUENTA E NOVE GRAMAS E SESSENTA CENTIGRAMAS) R$ 5.854,00 
"
01506-7;6.237,00 ;50,80;" UM RELÓGIO(MIRVAINE FEMININO, OURO, NÃO FUNCIONA, DEFEITOS, PESO 28,3G), UM RELÓGIO, (CLASSIC VEMININO, OURO, OURO BRANCO, NÃO FUNCIONA, DEFEITOS, PESO 22,5G), DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 50,80G (CINQUENTA GRAMAS E OITENTA CENTIGRAMAS) R$ 6.237,00 
"
01510-5;3.008,00 ;22,90;" UM BROCHE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 22,90G (VINTE E DOIS GRAMAS E NOVENTA CENTIGRAMAS) R$ 3.008,00 
"
01547-4; 678,00 ;4,46;" UMA ALIANÇA, UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 4,46G (QUATRO GRAMAS E QUARENTA E SEIS CENTIGRAMAS) R$ 678,00 
"
01570-9;4.244,00 ;28,67;" DOIS COLARES, DOIS PENDENTES, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 28,67G (VINTE E OITO GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 4.244,00 
"
01579-2;2.633,00 ;17,14;" UM COLAR, DUAS PULSEIRAS, DOIS PENDENTES, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 17,14G (DEZESSETE GRAMAS E QUATORZE CENTIGRAMAS) R$ 2.633,00 
"
01585-7;6.008,00 ;42,02;" UMA PULSEIRA, DOIS COLARES, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 42,02G (QUARENTA E DOIS GRAMAS E DOIS CENTIGRAMAS) R$ 6.008,00 
"
01593-8; 958,00 ;6,47;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 6,47G (SEIS GRAMAS E QUARENTA E SETE CENTIGRAMAS) R$ 958,00 
"
01621-7; 270,00 ;1,92;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 1,92G (UM GRAMAS E NOVENTA E DOIS CENTIGRAMA) R$ 270,00 
"
01666-7;1.641,00 ;11,67;" UM BROCHE, UM COLAR, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 11,67G (ONZE GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 1.641,00 
"
01684-5;1.893,00 ;12,03;" UM ANEL, DOIS BRINCOS, UM PENDENTE, UMA PULSEIRA, DE: OURO BRANCO, OURO; CONSTAM: amolgada(s), PESO LOTE: 12,03G (DOZE GRAMAS E TRES CENTIGRAMAS) R$ 1.893,00 
"
01706-0;1.709,00 ;11,74;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 11,74G (ONZE GRAMAS E SETENTA E QUATRO CENTIGRAMAS) R$ 1.709,00 
"
01708-6;2.785,00 ;18,75;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 18,75G (DEZOITO GRAMAS E SETENTA E CINCO CENTIGRAMAS) R$ 2.785,00 
"
01727-2;16.208,00 ;108,53;" DOIS COLARES, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 108,53G (CENTO E OITO GRAMAS E CINQUENTA E TRES CENTIGRAMAS) R$ 16.208,00 
"
01733-7;5.472,00 ;39,41;" DUAS ALIANÇAS, DOIS COLARES, DOIS PENDENTES, (UM DELES SEM CONTRA-ARGOLA), UMA PULSEIRA, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), incompleta(s), inscrições, partida(s), PESO LOTE: 39,41G (TRINTA E NOVE GRAMAS E QUARENTA E UM CENTIGRAMAS) R$ 5.472,00 
"
01736-1;9.761,00 ;63,98;" CINCO PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 63,98G (SESSENTA E TRES GRAMAS E NOVENTA E OITO CENTIGRAMAS) R$ 9.761,00 
"
01742-6;5.814,00 ;38,45;" TRES COLARES, UM PENDENTE, DUAS PULSEIRAS, UMA TORNOZELEIRA, UM ESCAPULARIO, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 38,45G (TRINTA E OITO GRAMAS E QUARENTA E CINCO CENTIGRAMAS) R$ 5.814,00 
"
01751-5;2.728,00 ;20,99;" DUAS PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 20,99G (VINTE GRAMAS E NOVENTA E NOVE CENTIGRAMAS) R$ 2.728,00 
"
01756-6; 231,00 ;1,76;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 1,76G (UM GRAMAS E SETENTA E SEIS CENTIGRAMA) R$ 231,00 
"
01762-0;3.542,00 ;24,77;" UMA ALIANÇA, UM BRINCO, UM COLAR, DUAS PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 24,77G (VINTE E QUATRO GRAMAS E SETENTA E SETE CENTIGRAMAS) R$ 3.542,00 
"
01763-9;4.860,00 ;32,99;" UM COLAR, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 32,99G (TRINTA E DOIS GRAMAS E NOVENTA E NOVE CENTIGRAMAS) R$ 4.860,00 
"
01764-7;2.507,00 ;18,17;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 18,17G (DEZOITO GRAMAS E DEZESSETE CENTIGRAMAS) R$ 2.507,00 
"
01765-5;3.631,00 ;27,05;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 27,05G (VINTE E SETE GRAMAS E CINCO CENTIGRAMAS) R$ 3.631,00 
"
01774-4;1.101,00 ;4,34;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 4,34G (QUATRO GRAMAS E TRINTA E QUATRO CENTIGRAMAS) R$ 1.101,00 
"
01775-2;6.039,00 ;42,32;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), defeito(s), PESO LOTE: 42,32G (QUARENTA E DOIS GRAMAS E TRINTA E DOIS CENTIGRAMAS) R$ 6.039,00 
"
01778-7;7.949,00 ;52,79;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 52,79G (CINQUENTA E DOIS GRAMAS E SETENTA E NOVE CENTIGRAMAS) R$ 7.949,00 
"
01779-5;3.590,00 ;79,33;" UM RELÓGIODE BOLSO S MARCA MOSTRADOR TRINCADO, DUAS CAPAS AMASSADO, INSCRIÇOES INTERNAS, DE: DOURADO, CONTRA ARGOLA, OURO; CONSTAM: amolgada(s), PESO LOTE: 79,33G (SETENTA E NOVE GRAMAS E TRINTA E TRES CENTIGRAMAS) R$ 3.590,00 
"
01794-9; 723,00 ;5,01;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 5,01G (CINCO GRAMA E UM CENTIGRAMAS) R$ 723,00 
"
01801-5;;27,39;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 27,39G (VINTE E SETE GRAMAS E TRINTA E NOVE CENTIGRAMAS) R$ 3.999,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 29 de 73 
"
01838-4; 173,00 ;1,24;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 1,24G (UM GRAMAS E VINTE E QUATRO CENTIGRAMA) R$ 173,00 
"
01846-5; 761,00 ;5,29;" UM COLAR, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,29G (CINCO GRAMAS E VINTE E NOVE CENTIGRAMAS) R$ 761,00 
"
01856-2;2.916,00 ;20,63;" UMA ALIANÇA, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 20,63G (VINTE GRAMAS E SESSENTA E TRES CENTIGRAMAS) R$ 2.916,00 
"
01858-9;11.480,00 ;77,90;" UM COLAR, UM PENDENTE, DE: OURO BRANCO, OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 77,90G (SETENTA E SETE GRAMAS E NOVENTA CENTIGRAMAS) R$ 11.480,00 
"
01872-4;;2,75;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 2,75G (DOIS GRAMAS E SETENTA E CINCO CENTIGRAMAS) R$ 444,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 30 de 73 
"
01886-4;3.607,00 ;25,53;" DUAS ALIANÇAS, UM PENDENTE, UM COLAR, DE: OURO; CONSTAM: amolgada(s), partida(s), inscrições, PESO LOTE: 25,53G (VINTE E CINCO GRAMAS E CINQUENTA E TRES CENTIGRAMAS) R$ 3.607,00 
"
01893-7;3.605,00 ;25,51;" DOIS ANÉIS, UMA PULSEIRA, DE: OURO BRANCO, OURO; CONSTAM: amassada(s), PESO LOTE: 25,51G (VINTE E CINCO GRAMAS E CINQUENTA E UM CENTIGRAMAS) R$ 3.605,00 
"
01899-6; 395,00 ;2,44;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 2,44G (DOIS GRAMAS E QUARENTA E QUATRO CENTIGRAMAS) R$ 395,00 
"
01903-8;6.432,00 ;44,22;" DUAS PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 44,22G (QUARENTA E QUATRO GRAMAS E VINTE E DOIS CENTIGRAMAS) R$ 6.432,00 
"
01904-6; 387,00 ;2,96;" UM COLAR, DE: OURO; CONSTAM: partida(s), amolgada(s), PESO LOTE: 2,96G (DOIS GRAMAS E NOVENTA E SEIS CENTIGRAMAS) R$ 387,00 
"
01915-1; 810,00 ;6,17;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 6,17G (SEIS GRAMAS E DEZESSETE CENTIGRAMAS) R$ 810,00 
"
01919-4;1.071,00 ;7,39;" UM ANEL, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 7,39G (SETE GRAMAS E TRINTA E NOVE CENTIGRAMAS) R$ 1.071,00 
"
01922-4;3.075,00 ;19,54;" UM COLAR, UMA PULSEIRA, DE: OURO, OURO RODINADO; CONSTAM: amolgada(s), PESO LOTE: 19,54G (DEZENOVE GRAMAS E CINQUENTA E QUATRO CENTIGRAMAS) R$ 3.075,00 
"
01924-0;2.200,00 ;14,05;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 14,05G (QUATORZE GRAMAS E CINCO CENTIGRAMAS) R$ 2.200,00 
"
01925-9;4.550,00 ;32,51;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 32,51G (TRINTA E DOIS GRAMAS E CINQUENTA E UM CENTIGRAMAS) R$ 4.550,00 
"
01975-5; 515,00 ;70,71;" UM RELÓGIOLONGINES, MODELO CLASSIQUE, REF L5.503.4, ELETRÔNICO, CAL. L251-2, N SERIE 29855507, FUNCIONANDO, DE: AÇO; CONSTAM: amolgada(s), (SINAIS DE USO, PONTEIROS E INDICADORES LEVEMENTE OXIDADOS), PESO LOTE: 70,71G (SETENTA GRAMAS E SETENTA E UM R$ 515,00 
"
01993-3; 688,00 ;5,25;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,25G (CINCO GRAMAS E VINTE E CINCO CENTIGRAMAS) R$ 688,00 
"
